,date,star,title,body,clean_text,stopwords_after,pos_tag,NN,lemmatization
0,2023-02-20,5,Durable Solid excellent,Superlike,['superlike'],['superlike'],"[('superlike', 'NN')]",['superlike'],['superlike']
1,2022-12-08,4,Nice Product,Everything Nice. The Filter connection fitting was not standard size difficult to get the fitting in local shops. Pls. Make it standard so that it will helpful.,"['everything', 'nice', 'the', 'filter', 'connection', 'fitting', 'was', 'not', 'standard', 'size', 'difficult', 'to', 'get', 'the', 'fitting', 'in', 'local', 'shops', 'pls', 'make', 'it', 'standard', 'so', 'that', 'it', 'will', 'helpful']","['everything', 'nice', 'filter', 'connection', 'fitting', 'standard', 'size', 'difficult', 'get', 'fitting', 'local', 'shops', 'pls', 'make', 'standard', 'helpful']","[('everything', 'NN'), ('nice', 'JJ'), ('filter', 'NN'), ('connection', 'NN'), ('fitting', 'VBG'), ('standard', 'JJ'), ('size', 'NN'), ('difficult', 'JJ'), ('get', 'VB'), ('fitting', 'JJ'), ('local', 'JJ'), ('shops', 'NNS'), ('pls', 'RB'), ('make', 'VBP'), ('standard', 'JJ'), ('helpful', 'NN')]","['everything', 'filter', 'connection', 'size', 'shops', 'helpful']","['everything', 'nice', 'filter', 'connection', 'fitting', 'standard', 'size', 'difficult', 'get', 'fitting', 'local', 'shop', 'pls', 'make', 'standard', 'helpful']"
2,2023-01-22,5,After 1.5year Review | Excellence at it best,"Posting this review after 1.5year of usage.This machine works like magic and is super easy to use.Very clean clothes, low noise levels, superb engineering by Bosch, excellent user convenience.","['posting', 'this', 'review', 'after', 'year', 'of', 'usage', 'this', 'machine', 'works', 'like', 'magic', 'and', 'is', 'super', 'easy', 'to', 'use', 'very', 'clean', 'clothes', 'low', 'noise', 'levels', 'superb', 'engineering', 'by', 'bosch', 'excellent', 'user', 'convenience']","['posting', 'review', 'year', 'usage', 'works', 'like', 'magic', 'super', 'easy', 'use', 'clean', 'clothes', 'low', 'noise', 'levels', 'superb', 'engineering', 'excellent', 'user', 'convenience']","[('posting', 'VBG'), ('review', 'NN'), ('year', 'NN'), ('usage', 'NN'), ('works', 'VBZ'), ('like', 'IN'), ('magic', 'JJ'), ('super', 'JJ'), ('easy', 'JJ'), ('use', 'NN'), ('clean', 'JJ'), ('clothes', 'NNS'), ('low', 'JJ'), ('noise', 'NN'), ('levels', 'NNS'), ('superb', 'VBP'), ('engineering', 'NN'), ('excellent', 'JJ'), ('user', 'NN'), ('convenience', 'NN')]","['review', 'year', 'usage', 'use', 'clothes', 'noise', 'levels', 'engineering', 'user', 'convenience']","['posting', 'review', 'year', 'usage', 'work', 'like', 'magic', 'super', 'easy', 'use', 'clean', 'clothes', 'low', 'noise', 'level', 'superb', 'engineering', 'excellent', 'user', 'convenience']"
3,2023-01-28,5,Nicee product,Washing quality is praise worthy.,"['washing', 'quality', 'is', 'praise', 'worthy']","['quality', 'praise', 'worthy']","[('quality', 'NN'), ('praise', 'NN'), ('worthy', 'NN')]","['quality', 'praise', 'worthy']","['quality', 'praise', 'worthy']"
4,2022-12-16,5,The best washing machine ever !!!!,"I have heard people saying , washing machine is not that usefull for too dirty clothes  and clothes won't get cleaned properly but after using this washing machine I felt this is just a misconception.Clothes are getting super clean. My whole family is happy with Bosch WM.No other thoughts , don't even think twice just go for it 💯Thank you Bosch and Thank you Amazon ❣️","['i', 'have', 'heard', 'people', 'saying', 'washing', 'machine', 'is', 'not', 'that', 'usefull', 'for', 'too', 'dirty', 'clothes', 'and', 'clothes', 'won', 't', 'get', 'cleaned', 'properly', 'but', 'after', 'using', 'this', 'washing', 'machine', 'i', 'felt', 'this', 'is', 'just', 'a', 'misconception', 'clothes', 'are', 'getting', 'super', 'clean', 'my', 'whole', 'family', 'is', 'happy', 'with', 'bosch', 'wm', 'no', 'other', 'thoughts', 'don', 't', 'even', 'think', 'twice', 'just', 'go', 'for', 'it', 'thank', 'you', 'bosch', 'and', 'thank', 'you', 'amazon']","['heard', 'people', 'saying', 'usefull', 'dirty', 'clothes', 'clothes', 'get', 'cleaned', 'properly', 'using', 'felt', 'misconception', 'clothes', 'getting', 'super', 'clean', 'whole', 'family', 'happy', 'wm', 'thoughts', 'even', 'think', 'twice', 'go', 'thank', 'thank']","[('heard', 'NN'), ('people', 'NNS'), ('saying', 'VBG'), ('usefull', 'JJ'), ('dirty', 'NN'), ('clothes', 'NNS'), ('clothes', 'NNS'), ('get', 'VBP'), ('cleaned', 'VBN'), ('properly', 'RB'), ('using', 'VBG'), ('felt', 'VBN'), ('misconception', 'NN'), ('clothes', 'NNS'), ('getting', 'VBG'), ('super', 'JJ'), ('clean', 'JJ'), ('whole', 'JJ'), ('family', 'NN'), ('happy', 'JJ'), ('wm', 'NN'), ('thoughts', 'NNS'), ('even', 'RB'), ('think', 'VBP'), ('twice', 'RB'), ('go', 'VBP'), ('thank', 'JJ'), ('thank', 'NN')]","['heard', 'people', 'dirty', 'clothes', 'clothes', 'misconception', 'clothes', 'family', 'wm', 'thoughts', 'thank']","['heard', 'people', 'saying', 'usefull', 'dirty', 'clothes', 'clothes', 'get', 'cleaned', 'properly', 'using', 'felt', 'misconception', 'clothes', 'getting', 'super', 'clean', 'whole', 'family', 'happy', 'thought', 'even', 'think', 'twice', 'thank', 'thank']"
5,2023-01-01,3,The foam of the surf remains in the water while the last wave of water should be clear.,It rinses the clothing with  not clean water out after washThe foam of the surf remains in the water while the last wave of water should be clear.,"['it', 'rinses', 'the', 'clothing', 'with', 'not', 'clean', 'water', 'out', 'after', 'washthe', 'foam', 'of', 'the', 'surf', 'remains', 'in', 'the', 'water', 'while', 'the', 'last', 'wave', 'of', 'water', 'should', 'be', 'clear']","['rinses', 'clothing', 'clean', 'washthe', 'foam', 'surf', 'remains', 'last', 'wave', 'clear']","[('rinses', 'NNS'), ('clothing', 'VBG'), ('clean', 'JJ'), ('washthe', 'NN'), ('foam', 'NN'), ('surf', 'NN'), ('remains', 'VBZ'), ('last', 'JJ'), ('wave', 'NN'), ('clear', 'JJ')]","['rinses', 'washthe', 'foam', 'surf', 'wave']","['rinse', 'clothing', 'clean', 'washthe', 'foam', 'surf', 'remains', 'last', 'wave', 'clear']"
